time,network usage
1,595
2,595
3,595
4,595
5,731
6,731
7,731
8,731
9,731
10,731
11,731
12,731
13,731
14,731
15,815
16,815
17,815
18,815
19,815
20,815
21,815
22,815
23,815
24,815
25,815
26,815
27,815
28,815
29,815
30,815
31,815
32,815
33,815
34,815
35,815
36,815
37,815
38,815
39,815
40,815
41,815
42,815
43,815
44,815
45,815
46,815
47,815
48,815
49,815
50,815
51,815
52,815
53,815
54,815
55,815
56,815
57,815
58,815
59,815
60,815
61,815
62,815
63,815
64,815
65,815
66,815
67,815
68,815
69,815
70,815
71,815
72,815
73,815
74,815
75,815
76,815
77,815
78,815
79,815
80,815
81,815
82,815
83,815
84,815
85,815
86,815
87,815
88,815
89,815
90,815
91,815
92,815
93,815
94,815
95,815
96,815
97,815
98,815
99,815
100,815
101,815
102,815
103,815
104,815
105,815
106,815
107,815
108,815
109,815
110,815
111,815
112,815
113,815
114,815
115,815
116,815
117,815
118,815
119,815
120,815
121,815
122,815
123,815
124,815
125,815
126,815
127,815
128,815
129,815
130,815
131,815
132,815
133,815
134,815
135,815
136,815
137,815
138,815
139,815
140,815
141,815
142,815
143,815
144,815
145,815
146,815
147,815
148,815
149,815
150,815
151,815
152,815
153,815
154,815
155,815
156,815
157,815
158,815
159,815
160,815
161,815
162,815
163,815
164,815
165,815
166,815
167,815
168,815
169,815
170,815
171,815
172,815
173,815
174,815
175,815
176,815
177,815
178,815
179,815
180,815
181,815
182,815
183,815
184,815
185,815
186,815
187,815
188,815
189,951
190,951
191,951
192,951
193,951
194,951
195,951
196,951
197,951
198,951
199,1.03
200,1.03
